Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
addition,16,16,sinusoidal,42,0,1.0890830755233765,0.31147739748247566,12.071331024169922,0.37261199951171875
addition,16,16,sinusoidal,42,1,1.2729562520980835,0.3640650648455024,7.341014862060547,0.6884278059005737
addition,16,16,sinusoidal,42,0,1.082839846611023,0.30969183608939943,12.022821426391602,0.3760543167591095
addition,16,16,sinusoidal,42,1,1.354420781135559,0.38736389306348235,7.323195457458496,0.6922912001609802
addition,16,16,sinusoidal,42,0,1.0850797891616821,0.31033245891411304,11.966283798217773,0.37979641556739807
addition,16,16,sinusoidal,42,1,1.354677438735962,0.3874372970518596,7.28603458404541,0.6938412189483643
addition,16,16,sinusoidal,42,0,1.0796146392822266,0.30876942786573647,11.969114303588867,0.3804548978805542
addition,16,16,sinusoidal,42,1,1.3420640230178833,0.3838298643504161,7.208878040313721,0.6987200379371643
addition,16,16,sinusoidal,42,0,1.101466417312622,0.3150190291167719,12.041726112365723,0.37646785378456116
addition,16,16,sinusoidal,42,1,1.3043161630630493,0.37303398895439605,7.451447486877441,0.6832901835441589
