Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
copy,128,1024,sinusoidal,42,0,4.326430320739746,0.5673927246699715,880.3992919921875,0.0053352233953773975
copy,128,1024,sinusoidal,42,1,5.245997905731201,0.6879900575486103,651.33154296875,0.007992151193320751
copy,128,1024,sinusoidal,42,0,4.349782943725586,0.5704553207137837,878.911376953125,0.006035753525793552
copy,128,1024,sinusoidal,42,1,5.169939994812012,0.6780153897255154,660.0985107421875,0.0077941021881997585
copy,128,1024,sinusoidal,42,0,4.268683910369873,0.5598195313695717,876.9218139648438,0.005840834230184555
copy,128,1024,sinusoidal,42,1,5.530494213104248,0.725300524384313,655.4608764648438,0.008143004961311817
copy,128,1024,sinusoidal,42,0,4.300175189971924,0.5639494772168671,877.95751953125,0.005954674445092678
copy,128,1024,sinusoidal,42,1,5.231088161468506,0.686034708728871,644.3928833007812,0.0073480186983942986
copy,128,1024,sinusoidal,42,0,4.236152172088623,0.5555531338424546,874.75634765625,0.006030042190104723
copy,128,1024,sinusoidal,42,1,5.391855716705322,0.7071186819913251,651.98388671875,0.007753316313028336
