Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention Entropy,Normalised Attention Entropy,Average Attention Distance,Local Attention Ratio
reverse,128,1024,learned,42,0,5.705007076263428,0.8230585417161691,318.3989562988281,0.024967003613710403
reverse,128,1024,learned,42,1,6.9096784591674805,0.9968558847178218,345.304443359375,0.02004985883831978
reverse,128,1024,learned,42,0,5.713812828063965,0.8243289431615626,318.71295166015625,0.024410180747509003
reverse,128,1024,learned,42,1,6.912420272827148,0.9972514448148062,344.3324279785156,0.020058274269104004
reverse,128,1024,learned,42,0,5.691560745239258,0.821118646207497,318.9424133300781,0.02509266883134842
reverse,128,1024,learned,42,1,6.913773536682129,0.9974466795200657,342.38287353515625,0.020266426727175713
reverse,128,1024,learned,42,0,5.7147369384765625,0.8244622641125114,318.3713684082031,0.024871861562132835
reverse,128,1024,learned,42,1,6.915708541870117,0.9977258417589462,344.27734375,0.0200977586209774
reverse,128,1024,learned,42,0,5.715592384338379,0.8245856788627706,318.71343994140625,0.024293985217809677
reverse,128,1024,learned,42,1,6.9072980880737305,0.996512469760579,346.0050048828125,0.01993367448449135
