Task,Train Length,Test Length,Positional Encoding,Seed,Layer,Attention_Entropy_Mean,Attention_Entropy_Std,Attention_Entropy_SE,Normalised_Entropy_Mean,Normalised_Entropy_Std,Normalised_Entropy_SE,Average_Distance_Mean,Average_Distance_Std,Average_Distance_SE,Local_Ratio_Mean,Local_Ratio_Std,Local_Ratio_SE,Task Label,Encoding Label
addition,16,16,learned,42,0,0.25502641499042505,0.008638461733365797,0.003863237531367305,0.07293746989166056,0.002470597183477191,0.001104884649454906,11.787435531616211,0.02536496628604126,0.011343557772515726,0.3991997957229614,0.0028756828188043967,0.0012860444529149808,Addition,Learned
addition,16,16,learned,42,1,0.8393855214118957,0.04402718819057618,0.01968955713046086,0.24006398003036108,0.012591761183582472,0.0056312067925867225,9.277508735656738,0.13460788485068229,0.06019847616671797,0.5929645538330078,0.008192907222789201,0.003663979496701132,Addition,Learned
addition,16,16,sinusoidal,42,0,1.087616753578186,0.008474257304227871,0.003789803078215529,0.31105802989369924,0.0024236347713413107,0.0010838824202702706,12.014255332946778,0.0458929103542628,0.020523933447487045,0.3770770967006683,0.0031685400642976584,0.0014170141946402346,Addition,Sinusoidal
addition,16,16,sinusoidal,42,1,1.3256869316101074,0.03595666504639953,0.016080309457588,0.37914602165313127,0.010283594247775283,0.004598963158210271,7.322114086151123,0.08833129369935044,0.03950295545044923,0.6913140892982483,0.005807385396007114,0.0025971417034022807,Addition,Sinusoidal
addition,16,32,learned,42,0,0.8055136442184448,0.005882629838242966,0.0026307920409559694,0.19296571979019644,0.001409219954426987,0.000630222322669579,23.981442260742188,0.10084743419833749,0.04510034364478383,0.21823688447475434,0.0018418805902098787,0.0008237140412293474,Addition,Learned
addition,16,32,learned,42,1,1.5178039073944092,0.06528751772835507,0.029197465544564916,0.3635992085210521,0.01564002415376935,0.0069944314355133794,19.00819625854492,0.2280713771577818,0.10199662060935853,0.34269111752510073,0.006575489888568821,0.0029406484752404786,Addition,Learned
addition,16,32,sinusoidal,42,0,1.8520851135253906,0.006873698325237844,0.0030740113424116682,0.44367831582901845,0.0016466364716107797,0.0007363982169504197,22.473701858520506,0.09397643083659668,0.042027537526687364,0.22891346216201777,0.002425825905900221,0.0010848623254345769,Addition,Sinusoidal
addition,16,32,sinusoidal,42,1,2.111969566345215,0.052900993585018825,0.023658043546676454,0.5059352258895748,0.012672756542384988,0.005667429018215623,15.832462501525878,0.20242963380876697,0.09052928437135858,0.49071255326271057,0.009098971598074651,0.004069183803726958,Addition,Sinusoidal
addition,16,1024,learned,42,0,4.190394020080566,0.031320795132731956,0.01400708540522665,0.5495521490538506,0.004107587542552215,0.0018369689937356125,770.7340576171875,2.700301472955128,1.2076115306540987,0.01031957175582642,0.0001202246967781646,5.3766118914055184e-05,Addition,Learned
addition,16,1024,learned,42,1,4.871356391906739,0.05239434217076332,0.023431462146042137,0.6388574346829776,0.006871292580178975,0.0030729354605140077,684.0770751953125,4.443352076430143,1.987127458172528,0.01293736621737474,8.255490447632341e-05,3.691967565701194e-05,Addition,Learned
addition,16,1024,sinusoidal,42,0,4.346248817443848,0.009093870867697456,0.004066902687755313,0.5699918352554115,0.0011926220433240526,0.0005333567920674557,726.8177368164063,1.0055310420841534,0.44968715271727594,0.008874106593430001,6.243638014754045e-05,2.792239805578357e-05,Addition,Sinusoidal
addition,16,1024,sinusoidal,42,1,4.621968460083008,0.021431750470332776,0.009584570185695468,0.6061512802676485,0.0028106818768157157,0.0012569751479373245,706.6430297851563,1.8189929169887307,0.8134783625954887,0.01440490055829284,0.0001456889536338654,6.515408077922767e-05,Addition,Sinusoidal
copy,128,128,rope,42,0,5.521244239807129,0.001187214195150364,0.0005309383288418226,0.9949844181874077,0.0002139480837867534,9.568049180060254e-05,85.08561553955079,0.09607023044228045,0.04296391317660115,0.08094447255134578,0.0005280540711448798,0.00023615295977509273,Delayed Copy,RoPE
copy,128,128,rope,42,1,1.1885698556900024,0.025108212989055363,0.011228734207414194,0.21419238761662163,0.004524755581816739,0.0020235322125027673,104.92581787109376,0.8215097740808753,0.36739033980506614,0.05789214894175524,0.0036422780358229493,0.001628876256210906,Delayed Copy,RoPE
copy,128,128,sinusoidal,42,0,2.529910135269165,0.05126884449905484,0.022928124285550563,0.4559155608184341,0.009239167694710544,0.004131881404178562,84.373583984375,1.678236667224885,0.7505302540495071,0.0854472935199737,0.002335056223150052,0.001044268889249487,Delayed Copy,Sinusoidal
copy,128,128,sinusoidal,42,1,4.626887321472168,0.16142148849528853,0.07218988426093312,0.8338121969649539,0.0290897954949083,0.013009352035636445,89.73137664794922,3.3618513264172183,1.5034656192233458,0.06498876139521595,0.0026488708704276833,0.0011846110659790667,Delayed Copy,Sinusoidal
copy,128,256,rope,42,0,6.213118267059326,0.0005957637688758343,0.0002664336571475705,0.9956480164042011,9.547074258541874e-05,4.269581405667317e-05,169.59295654296875,0.09274483227178172,0.041476749904304035,0.04098320901393886,7.451436128706815e-05,3.332383542757173e-05,Delayed Copy,RoPE
