Task,Train Length,Test Length,Positional Encoding,Seed,Attention_Entropy_Mean,Attention_Entropy_Std,Attention_Entropy_SE,Normalised_Entropy_Mean,Normalised_Entropy_Std,Normalised_Entropy_SE,Average_Distance_Mean,Average_Distance_Std,Average_Distance_SE,Local_Ratio_Mean,Local_Ratio_Std,Local_Ratio_SE,Task Label,Encoding Label
addition,16,16,learned,42,0.5472059682011604,0.3094333492097734,0.09785141675171473,0.1565007249610108,0.08849783498823413,0.027985472655656034,10.532472133636475,1.3259957247879433,0.41931666579756904,0.4960821747779846,0.10228692043862284,0.03234596434304774,Addition,Learned
addition,16,16,sinusoidal,42,1.2066518425941468,0.1278681192839133,0.04043544970592647,0.34510202577341526,0.03657023959939153,0.011564525171216082,9.66818470954895,2.473865800868759,0.7823050556341832,0.5341955929994583,0.16567615005621195,0.05239139881454632,Addition,Sinusoidal
addition,16,32,learned,42,1.161658775806427,0.3779450002253396,0.11951670309849242,0.2782824641556243,0.09053903621998843,0.028630957161164514,21.494819259643556,2.62639775544333,0.8305398948754816,0.2804640009999275,0.06575092620886108,0.020792268508566098,Addition,Learned
addition,16,32,sinusoidal,42,1.9820273399353028,0.14151280799805244,0.04475027913599384,0.4748067708592966,0.03390025861246706,0.010720203048413528,19.153082180023194,3.503401328186066,1.1078727754727025,0.3598130077123642,0.1381229781811787,0.04367832082582658,Addition,Sinusoidal
addition,16,1024,learned,42,4.530875205993652,0.36119847065088256,0.11422098546262699,0.5942047918684141,0.047369625584121174,0.014979590875520686,727.40556640625,45.8035922039148,14.484367638190232,0.01162846898660058,0.0013831203356965739,0.0004373810538897865,Addition,Learned
addition,16,1024,sinusoidal,42,4.484108638763428,0.14614352800699779,0.04621464137947209,0.58807155776153,0.01916609500244875,0.006060851405890849,716.7303833007812,10.722905499322067,3.390880451260279,0.01163950357586142,0.0029168990192309724,0.0009224044605481159,Addition,Sinusoidal
copy,128,128,rope,42,3.354907047748566,2.283581388577308,0.7221318410274308,0.6045884029020148,0.4115246130420336,0.130135509043226,95.00571670532227,10.471233094020322,3.311294648763629,0.0694183107465505,0.012394910160905999,0.00391961475016271,Delayed Copy,RoPE
copy,128,128,sinusoidal,42,3.5783987283706664,1.1109567880433748,0.35131538322419814,0.6448638788916939,0.2002057227269668,0.06331060844173518,87.0524803161621,3.7747545346718216,1.1936821937611992,0.07521802745759483,0.011036579882691376,0.003490073000769868,Delayed Copy,Sinusoidal
copy,128,256,rope,42,3.6025330662727355,2.751866298736875,0.8702165320265862,0.5773034967774169,0.44098472038964304,0.1394516129763767,163.82218322753906,6.0978754282758425,1.9283175241326385,0.026761842984706113,0.014991822873969158,0.004740830655955397,Delayed Copy,RoPE
copy,128,256,sinusoidal,42,3.9105413436889647,0.5820494641377376,0.1840602017555744,0.6266616157225259,0.09327303449064268,0.029495523326587413,192.13648071289063,12.210901163101983,3.8614259958601473,0.03160238098353144,0.0027386921271979003,0.0008660504931916938,Delayed Copy,Sinusoidal
copy,128,1024,rope,42,4.86637053489685,2.881378719685319,0.9111719555745451,0.6382035609848172,0.37788042366733227,0.11949628219781673,885.6956604003906,220.2077028285924,69.63578992518549,0.00533685574482656,0.0052545980924501145,0.0016616498160918376,Delayed Copy,RoPE
copy,128,1024,sinusoidal,42,4.8050600528717045,0.5459217809047815,0.1726356251954527,0.6301629550191283,0.07159529306166772,0.022640419582212,765.2214050292969,118.72799740835265,37.54508938409628,0.00682271211408073,0.00107363124805566,0.000339512011098511,Delayed Copy,Sinusoidal
reverse,128,128,learned,42,2.6144483923912047,2.3221458516769053,0.734326995041055,0.5388359614804163,0.4785926149193071,0.15134427344808926,52.69444313049316,10.554130875924443,3.3375092291429187,0.11921929270029064,0.03988601458480787,0.012613065287468809,Reverse,Learned
reverse,128,256,learned,42,4.054886245727539,1.538751002679964,0.4865957920336544,0.7312455347599984,0.277493555091163,0.08775116701054882,84.30108184814453,1.742310614301111,0.5509669932678646,0.07252560704946513,0.0070687473381087695,0.002235334179267606,Reverse,Learned
reverse,128,1024,learned,42,6.30995888710022,0.6344110102607634,0.20061837651124645,0.910334639463273,0.09152616183885603,0.028943113690397013,331.54412231445315,13.646338673477402,4.3153511930229405,0.022404169291257832,0.0024612544247083067,0.0007783169883245656,Reverse,Learned
