Using device: cuda
Epoch 1/50 | Loss: 0.7996 | Train Acc: 53.50%
Epoch 2/50 | Loss: 0.6905 | Train Acc: 57.00%
Epoch 3/50 | Loss: 0.6944 | Train Acc: 56.50%
Epoch 4/50 | Loss: 0.6984 | Train Acc: 52.00%
Epoch 5/50 | Loss: 0.7143 | Train Acc: 53.50%
Epoch 6/50 | Loss: 0.6811 | Train Acc: 60.50%
Epoch 7/50 | Loss: 0.6850 | Train Acc: 58.00%
Epoch 8/50 | Loss: 0.6808 | Train Acc: 59.00%
Epoch 9/50 | Loss: 0.6648 | Train Acc: 62.50%
Epoch 10/50 | Loss: 0.6670 | Train Acc: 63.50%
Epoch 11/50 | Loss: 0.6554 | Train Acc: 62.50%
Epoch 12/50 | Loss: 0.6481 | Train Acc: 62.00%
Epoch 13/50 | Loss: 0.6399 | Train Acc: 65.00%
Epoch 14/50 | Loss: 0.6181 | Train Acc: 61.00%
Epoch 15/50 | Loss: 0.6040 | Train Acc: 65.50%
Epoch 16/50 | Loss: 0.5908 | Train Acc: 70.00%
Epoch 17/50 | Loss: 0.5841 | Train Acc: 69.00%
Epoch 18/50 | Loss: 0.5424 | Train Acc: 69.00%
Epoch 19/50 | Loss: 0.5472 | Train Acc: 71.50%
Epoch 20/50 | Loss: 0.4959 | Train Acc: 76.00%
Epoch 21/50 | Loss: 0.4886 | Train Acc: 74.00%
Epoch 22/50 | Loss: 0.4517 | Train Acc: 77.50%
Epoch 23/50 | Loss: 0.5316 | Train Acc: 70.50%
Epoch 24/50 | Loss: 0.4724 | Train Acc: 78.00%
Epoch 25/50 | Loss: 0.4807 | Train Acc: 79.00%
Epoch 26/50 | Loss: 0.5602 | Train Acc: 67.00%
Epoch 27/50 | Loss: 0.4424 | Train Acc: 77.00%
Epoch 28/50 | Loss: 0.3814 | Train Acc: 83.00%
Epoch 29/50 | Loss: 0.3623 | Train Acc: 82.50%
Epoch 30/50 | Loss: 0.3627 | Train Acc: 84.00%
Epoch 31/50 | Loss: 0.3069 | Train Acc: 84.00%
Epoch 32/50 | Loss: 0.3485 | Train Acc: 82.00%
Epoch 33/50 | Loss: 0.3133 | Train Acc: 87.50%
Epoch 34/50 | Loss: 0.3739 | Train Acc: 84.00%
Epoch 35/50 | Loss: 0.3735 | Train Acc: 84.00%
Epoch 36/50 | Loss: 0.3405 | Train Acc: 83.00%
Epoch 37/50 | Loss: 0.3214 | Train Acc: 82.50%
Epoch 38/50 | Loss: 0.2935 | Train Acc: 86.50%
Epoch 39/50 | Loss: 0.2265 | Train Acc: 90.00%
Epoch 40/50 | Loss: 0.2202 | Train Acc: 90.00%
Epoch 41/50 | Loss: 0.2446 | Train Acc: 89.50%
Epoch 42/50 | Loss: 0.1962 | Train Acc: 90.00%
Epoch 43/50 | Loss: 0.2806 | Train Acc: 86.00%
Epoch 44/50 | Loss: 0.3310 | Train Acc: 85.50%
Epoch 45/50 | Loss: 0.2398 | Train Acc: 89.00%
Epoch 46/50 | Loss: 0.2529 | Train Acc: 88.50%
Epoch 47/50 | Loss: 0.2168 | Train Acc: 88.00%
Epoch 48/50 | Loss: 0.2505 | Train Acc: 88.00%
Epoch 49/50 | Loss: 0.2806 | Train Acc: 84.00%
Epoch 50/50 | Loss: 0.1924 | Train Acc: 91.00%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_alibi_seed2024.pt
