Using device: cuda
Epoch 1/50 | Loss: 0.7893 | Train Acc: 50.50%
Epoch 2/50 | Loss: 0.7244 | Train Acc: 47.50%
Epoch 3/50 | Loss: 0.6904 | Train Acc: 51.50%
Epoch 4/50 | Loss: 0.6890 | Train Acc: 53.50%
Epoch 5/50 | Loss: 0.6886 | Train Acc: 57.50%
Epoch 6/50 | Loss: 0.6999 | Train Acc: 53.00%
Epoch 7/50 | Loss: 0.6791 | Train Acc: 56.50%
Epoch 8/50 | Loss: 0.6789 | Train Acc: 52.50%
Epoch 9/50 | Loss: 0.6661 | Train Acc: 60.00%
Epoch 10/50 | Loss: 0.6304 | Train Acc: 64.50%
Epoch 11/50 | Loss: 0.6263 | Train Acc: 64.50%
Epoch 12/50 | Loss: 0.6192 | Train Acc: 67.00%
Epoch 13/50 | Loss: 0.6139 | Train Acc: 66.50%
Epoch 14/50 | Loss: 0.6143 | Train Acc: 69.50%
Epoch 15/50 | Loss: 0.5998 | Train Acc: 66.50%
Epoch 16/50 | Loss: 0.5309 | Train Acc: 72.50%
Epoch 17/50 | Loss: 0.5419 | Train Acc: 77.00%
Epoch 18/50 | Loss: 0.4821 | Train Acc: 80.50%
Epoch 19/50 | Loss: 0.4240 | Train Acc: 79.50%
Epoch 20/50 | Loss: 0.4632 | Train Acc: 78.00%
Epoch 21/50 | Loss: 0.4475 | Train Acc: 78.00%
Epoch 22/50 | Loss: 0.4899 | Train Acc: 75.00%
Epoch 23/50 | Loss: 0.4488 | Train Acc: 79.00%
Epoch 24/50 | Loss: 0.3858 | Train Acc: 81.50%
Epoch 25/50 | Loss: 0.4322 | Train Acc: 83.50%
Epoch 26/50 | Loss: 0.3774 | Train Acc: 83.00%
Epoch 27/50 | Loss: 0.3437 | Train Acc: 84.00%
Epoch 28/50 | Loss: 0.2488 | Train Acc: 89.50%
Epoch 29/50 | Loss: 0.3251 | Train Acc: 86.00%
Epoch 30/50 | Loss: 0.3036 | Train Acc: 85.50%
Epoch 31/50 | Loss: 0.3170 | Train Acc: 86.50%
Epoch 32/50 | Loss: 0.2878 | Train Acc: 89.00%
Epoch 33/50 | Loss: 0.2289 | Train Acc: 89.00%
Epoch 34/50 | Loss: 0.2825 | Train Acc: 89.00%
Epoch 35/50 | Loss: 0.2721 | Train Acc: 88.50%
Epoch 36/50 | Loss: 0.2751 | Train Acc: 87.50%
Epoch 37/50 | Loss: 0.2082 | Train Acc: 94.00%
Epoch 38/50 | Loss: 0.1574 | Train Acc: 94.00%
Epoch 39/50 | Loss: 0.1930 | Train Acc: 92.50%
Epoch 40/50 | Loss: 0.2053 | Train Acc: 93.50%
Epoch 41/50 | Loss: 0.1582 | Train Acc: 94.00%
Epoch 42/50 | Loss: 0.2077 | Train Acc: 92.50%
Epoch 43/50 | Loss: 0.2219 | Train Acc: 92.00%
Epoch 44/50 | Loss: 0.2779 | Train Acc: 90.00%
Epoch 45/50 | Loss: 0.1938 | Train Acc: 94.50%
Epoch 46/50 | Loss: 0.1415 | Train Acc: 95.00%
Epoch 47/50 | Loss: 0.0825 | Train Acc: 96.50%
Epoch 48/50 | Loss: 0.2375 | Train Acc: 93.50%
Epoch 49/50 | Loss: 0.2870 | Train Acc: 88.50%
Epoch 50/50 | Loss: 0.2370 | Train Acc: 89.50%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_learned_seed42.pt
