Using device: cuda
Epoch 1/50 | Loss: 0.8550 | Train Acc: 48.00%
Epoch 2/50 | Loss: 0.7566 | Train Acc: 46.00%
Epoch 3/50 | Loss: 0.7057 | Train Acc: 53.00%
Epoch 4/50 | Loss: 0.6962 | Train Acc: 54.00%
Epoch 5/50 | Loss: 0.6733 | Train Acc: 57.00%
Epoch 6/50 | Loss: 0.6918 | Train Acc: 56.50%
Epoch 7/50 | Loss: 0.6950 | Train Acc: 58.00%
Epoch 8/50 | Loss: 0.6744 | Train Acc: 60.50%
Epoch 9/50 | Loss: 0.6719 | Train Acc: 58.00%
Epoch 10/50 | Loss: 0.6860 | Train Acc: 54.50%
Epoch 11/50 | Loss: 0.6789 | Train Acc: 57.50%
Epoch 12/50 | Loss: 0.6596 | Train Acc: 60.00%
Epoch 13/50 | Loss: 0.6201 | Train Acc: 63.50%
Epoch 14/50 | Loss: 0.5875 | Train Acc: 66.50%
Epoch 15/50 | Loss: 0.5602 | Train Acc: 68.00%
Epoch 16/50 | Loss: 0.5264 | Train Acc: 72.00%
Epoch 17/50 | Loss: 0.5568 | Train Acc: 72.50%
Epoch 18/50 | Loss: 0.4872 | Train Acc: 76.50%
Epoch 19/50 | Loss: 0.4698 | Train Acc: 78.50%
Epoch 20/50 | Loss: 0.4692 | Train Acc: 76.00%
Epoch 21/50 | Loss: 0.4846 | Train Acc: 73.50%
Epoch 22/50 | Loss: 0.3913 | Train Acc: 81.00%
Epoch 23/50 | Loss: 0.4370 | Train Acc: 79.50%
Epoch 24/50 | Loss: 0.3718 | Train Acc: 84.00%
Epoch 25/50 | Loss: 0.3642 | Train Acc: 83.00%
Epoch 26/50 | Loss: 0.4411 | Train Acc: 78.00%
Epoch 27/50 | Loss: 0.5871 | Train Acc: 70.00%
Epoch 28/50 | Loss: 0.4584 | Train Acc: 79.00%
Epoch 29/50 | Loss: 0.3414 | Train Acc: 85.00%
Epoch 30/50 | Loss: 0.2757 | Train Acc: 88.50%
Epoch 31/50 | Loss: 0.3331 | Train Acc: 85.50%
Epoch 32/50 | Loss: 0.3078 | Train Acc: 85.50%
Epoch 33/50 | Loss: 0.2396 | Train Acc: 90.00%
Epoch 34/50 | Loss: 0.2411 | Train Acc: 90.50%
Epoch 35/50 | Loss: 0.3052 | Train Acc: 89.50%
Epoch 36/50 | Loss: 0.2954 | Train Acc: 89.00%
Epoch 37/50 | Loss: 0.3170 | Train Acc: 88.50%
Epoch 38/50 | Loss: 0.2711 | Train Acc: 89.00%
Epoch 39/50 | Loss: 0.3622 | Train Acc: 85.00%
Epoch 40/50 | Loss: 0.3525 | Train Acc: 85.00%
Epoch 41/50 | Loss: 0.2313 | Train Acc: 89.00%
Epoch 42/50 | Loss: 0.1707 | Train Acc: 95.50%
Epoch 43/50 | Loss: 0.1610 | Train Acc: 93.50%
Epoch 44/50 | Loss: 0.1946 | Train Acc: 91.50%
Epoch 45/50 | Loss: 0.2445 | Train Acc: 89.00%
Epoch 46/50 | Loss: 0.1895 | Train Acc: 92.00%
Epoch 47/50 | Loss: 0.1681 | Train Acc: 93.00%
Epoch 48/50 | Loss: 0.0917 | Train Acc: 97.00%
Epoch 49/50 | Loss: 0.1013 | Train Acc: 96.00%
Epoch 50/50 | Loss: 0.0780 | Train Acc: 97.50%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_none_seed123.pt
