Using device: cuda
Epoch 1/50 | Loss: 0.7986 | Train Acc: 52.50%
Epoch 2/50 | Loss: 0.6890 | Train Acc: 57.00%
Epoch 3/50 | Loss: 0.6923 | Train Acc: 58.00%
Epoch 4/50 | Loss: 0.6975 | Train Acc: 54.50%
Epoch 5/50 | Loss: 0.7148 | Train Acc: 58.50%
Epoch 6/50 | Loss: 0.6764 | Train Acc: 59.50%
Epoch 7/50 | Loss: 0.6765 | Train Acc: 58.00%
Epoch 8/50 | Loss: 0.6686 | Train Acc: 59.50%
Epoch 9/50 | Loss: 0.6449 | Train Acc: 63.50%
Epoch 10/50 | Loss: 0.6338 | Train Acc: 68.00%
Epoch 11/50 | Loss: 0.5919 | Train Acc: 68.00%
Epoch 12/50 | Loss: 0.5911 | Train Acc: 67.00%
Epoch 13/50 | Loss: 0.5752 | Train Acc: 67.50%
Epoch 14/50 | Loss: 0.5331 | Train Acc: 73.00%
Epoch 15/50 | Loss: 0.4650 | Train Acc: 77.50%
Epoch 16/50 | Loss: 0.4940 | Train Acc: 73.50%
Epoch 17/50 | Loss: 0.4568 | Train Acc: 75.50%
Epoch 18/50 | Loss: 0.4087 | Train Acc: 78.50%
Epoch 19/50 | Loss: 0.3688 | Train Acc: 82.50%
Epoch 20/50 | Loss: 0.3227 | Train Acc: 84.50%
Epoch 21/50 | Loss: 0.2937 | Train Acc: 87.50%
Epoch 22/50 | Loss: 0.2619 | Train Acc: 86.50%
Epoch 23/50 | Loss: 0.4173 | Train Acc: 82.00%
Epoch 24/50 | Loss: 0.2891 | Train Acc: 86.50%
Epoch 25/50 | Loss: 0.2186 | Train Acc: 92.00%
Epoch 26/50 | Loss: 0.2192 | Train Acc: 91.50%
Epoch 27/50 | Loss: 0.1759 | Train Acc: 92.50%
Epoch 28/50 | Loss: 0.1714 | Train Acc: 94.00%
Epoch 29/50 | Loss: 0.1396 | Train Acc: 95.00%
Epoch 30/50 | Loss: 0.1075 | Train Acc: 96.00%
Epoch 31/50 | Loss: 0.0590 | Train Acc: 98.50%
Epoch 32/50 | Loss: 0.0508 | Train Acc: 99.50%
Epoch 33/50 | Loss: 0.0457 | Train Acc: 99.00%
Epoch 34/50 | Loss: 0.0533 | Train Acc: 98.00%
Epoch 35/50 | Loss: 0.1700 | Train Acc: 93.50%
Epoch 36/50 | Loss: 0.5998 | Train Acc: 74.50%
Epoch 37/50 | Loss: 0.4446 | Train Acc: 78.00%
Epoch 38/50 | Loss: 0.3276 | Train Acc: 82.00%
Epoch 39/50 | Loss: 0.1778 | Train Acc: 94.00%
Epoch 40/50 | Loss: 0.1124 | Train Acc: 96.50%
Epoch 41/50 | Loss: 0.0680 | Train Acc: 97.50%
Epoch 42/50 | Loss: 0.0557 | Train Acc: 99.00%
Epoch 43/50 | Loss: 0.0369 | Train Acc: 98.50%
Epoch 44/50 | Loss: 0.0254 | Train Acc: 99.00%
Epoch 45/50 | Loss: 0.0186 | Train Acc: 99.00%
Epoch 46/50 | Loss: 0.0116 | Train Acc: 100.00%
Epoch 47/50 | Loss: 0.0121 | Train Acc: 100.00%
Epoch 48/50 | Loss: 0.0115 | Train Acc: 99.50%
Epoch 49/50 | Loss: 0.0044 | Train Acc: 100.00%
Epoch 50/50 | Loss: 0.0029 | Train Acc: 100.00%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_rope_seed2024.pt
