Using device: cuda
Epoch 1/50 | Loss: 0.8305 | Train Acc: 50.00%
Epoch 2/50 | Loss: 0.7679 | Train Acc: 47.00%
Epoch 3/50 | Loss: 0.7174 | Train Acc: 52.50%
Epoch 4/50 | Loss: 0.7200 | Train Acc: 46.00%
Epoch 5/50 | Loss: 0.6891 | Train Acc: 53.00%
Epoch 6/50 | Loss: 0.6974 | Train Acc: 51.50%
Epoch 7/50 | Loss: 0.6889 | Train Acc: 56.00%
Epoch 8/50 | Loss: 0.6746 | Train Acc: 59.00%
Epoch 9/50 | Loss: 0.6898 | Train Acc: 59.50%
Epoch 10/50 | Loss: 0.7031 | Train Acc: 55.50%
Epoch 11/50 | Loss: 0.6614 | Train Acc: 62.50%
Epoch 12/50 | Loss: 0.5927 | Train Acc: 67.50%
Epoch 13/50 | Loss: 0.5427 | Train Acc: 72.50%
Epoch 14/50 | Loss: 0.4643 | Train Acc: 82.00%
Epoch 15/50 | Loss: 0.4834 | Train Acc: 75.50%
Epoch 16/50 | Loss: 0.4126 | Train Acc: 81.00%
Epoch 17/50 | Loss: 0.3132 | Train Acc: 88.00%
Epoch 18/50 | Loss: 0.4229 | Train Acc: 80.00%
Epoch 19/50 | Loss: 0.2995 | Train Acc: 85.00%
Epoch 20/50 | Loss: 0.2688 | Train Acc: 89.00%
Epoch 21/50 | Loss: 0.2205 | Train Acc: 91.00%
Epoch 22/50 | Loss: 0.3273 | Train Acc: 86.50%
Epoch 23/50 | Loss: 0.1958 | Train Acc: 91.00%
Epoch 24/50 | Loss: 0.1509 | Train Acc: 93.50%
Epoch 25/50 | Loss: 0.1579 | Train Acc: 92.00%
Epoch 26/50 | Loss: 0.1415 | Train Acc: 95.50%
Epoch 27/50 | Loss: 0.0874 | Train Acc: 97.00%
Epoch 28/50 | Loss: 0.1574 | Train Acc: 95.00%
Epoch 29/50 | Loss: 0.1634 | Train Acc: 96.00%
Epoch 30/50 | Loss: 0.1591 | Train Acc: 93.50%
Epoch 31/50 | Loss: 0.0914 | Train Acc: 97.00%
Epoch 32/50 | Loss: 0.0359 | Train Acc: 99.50%
Epoch 33/50 | Loss: 0.0671 | Train Acc: 98.00%
Epoch 34/50 | Loss: 0.0715 | Train Acc: 97.50%
Epoch 35/50 | Loss: 0.1198 | Train Acc: 97.00%
Epoch 36/50 | Loss: 0.0676 | Train Acc: 97.50%
Epoch 37/50 | Loss: 0.0828 | Train Acc: 96.50%
Epoch 38/50 | Loss: 0.0403 | Train Acc: 99.00%
Epoch 39/50 | Loss: 0.0602 | Train Acc: 98.00%
Epoch 40/50 | Loss: 0.0192 | Train Acc: 99.50%
Epoch 41/50 | Loss: 0.0243 | Train Acc: 99.00%
Epoch 42/50 | Loss: 0.1214 | Train Acc: 97.00%
Epoch 43/50 | Loss: 0.0901 | Train Acc: 97.00%
Epoch 44/50 | Loss: 0.1037 | Train Acc: 96.50%
Epoch 45/50 | Loss: 0.1342 | Train Acc: 95.00%
Epoch 46/50 | Loss: 0.1359 | Train Acc: 95.50%
Epoch 47/50 | Loss: 0.0808 | Train Acc: 95.00%
Epoch 48/50 | Loss: 0.1259 | Train Acc: 96.50%
Epoch 49/50 | Loss: 0.0793 | Train Acc: 98.00%
Epoch 50/50 | Loss: 0.0445 | Train Acc: 99.00%

Model saved to: outputs/checkpoints/realworld/selfregulationscp2_train256_sinusoidal_seed42.pt
