Task,Train Length,Longest Test Length,Positional Encoding,Exact@Train,Exact@Longest,Token@Train,Token@Longest
Delayed Copy,128,1024,Learned,100.0,0.0,100.0,1.0607421875
Delayed Copy,128,1024,Sinusoidal,99.9,0.0,99.99921875,0.99755859375
Delayed Copy,128,1024,NoPE,0.0,0.0,3.5703125,1.715234375
Delayed Copy,128,1024,ALiBi,0.0,0.0,20.16484375,1.0041015625
Delayed Copy,128,1024,RoPE,100.0,0.0,100.0,0.98525390625
Reverse,128,1024,Learned,100.0,0.0,100.0,1.09189453125
Reverse,128,1024,Sinusoidal,99.7,0.0,99.99765625,1.0017578125
Reverse,128,1024,NoPE,0.0,0.0,3.384375,1.64345703125
Reverse,128,1024,ALiBi,0.0,0.0,1.3703125,0.99931640625
Reverse,128,1024,RoPE,0.0,0.0,22.9953125,1.086328125
Addition,16,1024,Learned,94.4,0.0,99.64438551021638,10.13605176603781
Addition,16,1024,Sinusoidal,95.0,0.0,99.66246760291725,10.052898175891317
Addition,16,1024,NoPE,0.0,0.0,13.284310770899886,10.07895687139497
Addition,16,1024,ALiBi,0.0,0.0,13.338557049002471,10.05553332487483
Addition,16,1024,RoPE,50.0,0.0,95.71454402989572,10.045871111935272
