Task,Encoding,Exact@Train,Exact@Longest,Token@Train,Token@Longest
Delayed Copy,Learned,100.0,0.0,100.0,1.0607421875
Delayed Copy,Sinusoidal,99.9,0.0,99.99921875,0.99755859375
Delayed Copy,NoPE,0.0,0.0,3.5703125,1.715234375
Delayed Copy,ALiBi,0.0,0.0,20.16484375,1.0041015625
Reverse,Learned,100.0,0.0,100.0,1.09189453125
Reverse,Sinusoidal,99.7,0.0,99.99765625,1.0017578125
Reverse,NoPE,0.0,0.0,3.384375,1.64345703125
Reverse,ALiBi,0.0,0.0,1.3703125,0.99931640625
Addition,Learned,94.4,0.0,99.64438551021638,10.13605176603781
Addition,Sinusoidal,95.0,0.0,99.66246760291725,10.052898175891317
Addition,NoPE,0.0,0.0,13.284310770899886,10.07895687139497
Addition,ALiBi,0.0,0.0,13.338557049002471,10.05553332487483
