Task,Task Label,Positional Encoding,Encoding Label,Seed,Train Length,Test Length,Token Accuracy (%),Token Error (%),Exact-Match Accuracy (%),Exact-Match Error (%),Checkpoint,Diagnostic Scope
addition,Addition,learned,Learned,42,16,16,99.61424868904828,0.38575131095171855,94.1,5.900000000000006,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_learned_seed42.pt,Representative seed-42 checkpoint
addition,Addition,learned,Learned,42,16,32,12.01582482289079,87.98417517710921,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_learned_seed42.pt,Representative seed-42 checkpoint
addition,Addition,learned,Learned,42,16,64,11.224631960247063,88.77536803975293,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_learned_seed42.pt,Representative seed-42 checkpoint
addition,Addition,learned,Learned,42,16,128,10.685479166504624,89.31452083349538,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_learned_seed42.pt,Representative seed-42 checkpoint
addition,Addition,learned,Learned,42,16,256,10.197082539274259,89.80291746072574,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_learned_seed42.pt,Representative seed-42 checkpoint
addition,Addition,learned,Learned,42,16,512,10.27419307640535,89.72580692359465,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_learned_seed42.pt,Representative seed-42 checkpoint
addition,Addition,learned,Learned,42,16,1024,10.033866544343702,89.96613345565629,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_learned_seed42.pt,Representative seed-42 checkpoint
addition,Addition,sinusoidal,Sinusoidal,42,16,16,99.67452233138448,0.32547766861551963,94.7,5.299999999999997,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_sinusoidal_seed42.pt,Representative seed-42 checkpoint
addition,Addition,sinusoidal,Sinusoidal,42,16,32,13.147483669150796,86.8525163308492,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_sinusoidal_seed42.pt,Representative seed-42 checkpoint
addition,Addition,sinusoidal,Sinusoidal,42,16,64,10.64567562965371,89.35432437034629,0.0,100.0,/home/ubuntu/Length-Generalisation-in-Sequence-Models-Failure-Taxonomy-and-Mitigation-Strategies/outputs/checkpoints/multiseed_checkpoints/addition_train16_sinusoidal_seed42.pt,Representative seed-42 checkpoint
