Task,Task Label,Positional Encoding,Encoding Label,Seed,Train Length,Test Length,Position Bin,Bin Start (%),Bin End (%),Token Count,Error Count,Error Rate (%)
addition,Addition,learned,Learned,42,16,16,0,0,10,2000,5,0.25
addition,Addition,learned,Learned,42,16,16,1,10,20,2000,11,0.55
addition,Addition,learned,Learned,42,16,16,2,20,30,1591,3,0.18856065367693275
addition,Addition,learned,Learned,42,16,16,3,30,40,1409,4,0.28388928317955997
addition,Addition,learned,Learned,42,16,16,4,40,50,1591,3,0.18856065367693275
addition,Addition,learned,Learned,42,16,16,5,50,60,2000,17,0.85
addition,Addition,learned,Learned,42,16,16,6,60,70,1409,4,0.28388928317955997
addition,Addition,learned,Learned,42,16,16,7,70,80,1591,14,0.8799497171590195
addition,Addition,learned,Learned,42,16,16,8,80,90,2000,3,0.15
addition,Addition,learned,Learned,42,16,16,9,90,100,1000,0,0.0
addition,Addition,learned,Learned,42,16,32,0,0,10,4000,3309,82.725
addition,Addition,learned,Learned,42,16,32,1,10,20,3000,2696,89.86666666666666
addition,Addition,learned,Learned,42,16,32,2,20,30,3000,2548,84.93333333333334
addition,Addition,learned,Learned,42,16,32,3,30,40,3607,3198,88.66093706681453
addition,Addition,learned,Learned,42,16,32,4,40,50,3000,2500,83.33333333333333
addition,Addition,learned,Learned,42,16,32,5,50,60,3393,3043,89.68464485705864
addition,Addition,learned,Learned,42,16,32,6,60,70,3607,3238,89.76989187690602
addition,Addition,learned,Learned,42,16,32,7,70,80,3000,2721,90.7
addition,Addition,learned,Learned,42,16,32,8,80,90,3000,2738,91.26666666666667
addition,Addition,learned,Learned,42,16,32,9,90,100,3000,2698,89.93333333333334
addition,Addition,learned,Learned,42,16,64,0,0,10,7000,5711,81.58571428571429
addition,Addition,learned,Learned,42,16,64,1,10,20,6000,5299,88.31666666666666
addition,Addition,learned,Learned,42,16,64,2,20,30,7000,6079,86.84285714285714
addition,Addition,learned,Learned,42,16,64,3,30,40,6000,5391,89.85
addition,Addition,learned,Learned,42,16,64,4,40,50,6599,5969,90.45309895438703
addition,Addition,learned,Learned,42,16,64,5,50,60,6401,5769,90.12654272769879
addition,Addition,learned,Learned,42,16,64,6,60,70,6599,5954,90.22579178663433
addition,Addition,learned,Learned,42,16,64,7,70,80,6401,5778,90.26714575847524
addition,Addition,learned,Learned,42,16,64,8,80,90,6599,5978,90.58948325503864
addition,Addition,learned,Learned,42,16,64,9,90,100,6000,5420,90.33333333333333
