Task,Positional Encoding,Encoding Label,Seed,Train Length,Test Length,Distance Bin,Distance Start (%),Distance End (%),Token Count,Error Count,Error Rate (%)
reverse,learned,Learned,42,128,128,0,0,10,12000,0,0.0
reverse,learned,Learned,42,128,128,1,10,20,14000,0,0.0
reverse,learned,Learned,42,128,128,2,20,30,12000,0,0.0
reverse,learned,Learned,42,128,128,3,30,40,12000,0,0.0
reverse,learned,Learned,42,128,128,4,40,50,14000,0,0.0
reverse,learned,Learned,42,128,128,5,50,60,12000,0,0.0
reverse,learned,Learned,42,128,128,6,60,70,12000,0,0.0
reverse,learned,Learned,42,128,128,7,70,80,14000,0,0.0
reverse,learned,Learned,42,128,128,8,80,90,12000,0,0.0
reverse,learned,Learned,42,128,128,9,90,100,14000,0,0.0
reverse,learned,Learned,42,128,256,0,0,10,26000,25698,98.83846153846154
reverse,learned,Learned,42,128,256,1,10,20,24000,23726,98.85833333333333
reverse,learned,Learned,42,128,256,2,20,30,26000,25720,98.92307692307692
reverse,learned,Learned,42,128,256,3,30,40,26000,25677,98.75769230769231
reverse,learned,Learned,42,128,256,4,40,50,26000,25709,98.88076923076923
reverse,learned,Learned,42,128,256,5,50,60,24000,23740,98.91666666666667
reverse,learned,Learned,42,128,256,6,60,70,26000,25700,98.84615384615384
reverse,learned,Learned,42,128,256,7,70,80,26000,25650,98.65384615384616
reverse,learned,Learned,42,128,256,8,80,90,26000,25620,98.53846153846153
reverse,learned,Learned,42,128,256,9,90,100,26000,25654,98.66923076923077
reverse,learned,Learned,42,128,512,0,0,10,52000,51438,98.91923076923077
reverse,learned,Learned,42,128,512,1,10,20,50000,49437,98.874
reverse,learned,Learned,42,128,512,2,20,30,52000,51432,98.9076923076923
reverse,learned,Learned,42,128,512,3,30,40,50000,49417,98.834
reverse,learned,Learned,42,128,512,4,40,50,52000,51414,98.87307692307692
reverse,learned,Learned,42,128,512,5,50,60,50000,49400,98.8
reverse,learned,Learned,42,128,512,6,60,70,52000,51407,98.85961538461538
reverse,learned,Learned,42,128,512,7,70,80,50000,49458,98.916
reverse,learned,Learned,42,128,512,8,80,90,52000,51453,98.94807692307693
reverse,learned,Learned,42,128,512,9,90,100,52000,51372,98.79230769230769
reverse,learned,Learned,42,128,1024,0,0,10,102000,100914,98.93529411764706
reverse,learned,Learned,42,128,1024,1,10,20,102000,100906,98.92745098039215
reverse,learned,Learned,42,128,1024,2,20,30,102000,100940,98.96078431372548
reverse,learned,Learned,42,128,1024,3,30,40,104000,102813,98.85865384615384
reverse,learned,Learned,42,128,1024,4,40,50,102000,100906,98.92745098039215
reverse,learned,Learned,42,128,1024,5,50,60,102000,100897,98.9186274509804
reverse,learned,Learned,42,128,1024,6,60,70,102000,100872,98.89411764705882
reverse,learned,Learned,42,128,1024,7,70,80,102000,100898,98.91960784313726
reverse,learned,Learned,42,128,1024,8,80,90,102000,100864,98.88627450980393
reverse,learned,Learned,42,128,1024,9,90,100,104000,102880,98.92307692307692
